word	word_count	mean_sent_length	final_count	solo_count
来电	4.0	6.5	0.0	0.0
苦苦	4.0	4.5	0.0	0.0
跳gua1	1.0	4.0	0.0	0.0
楼下	27.0	6.62962962962963	4.0	0.0
修复	1.0	21.0	0.0	0.0
愚	1.0	3.0	0.0	0.0
don't	5.0	5.6	0.0	0.0
dongdong	1.0	1.0	1.0	1.0
看书	55.0	11.618181818181819	17.0	0.0
销量	3.0	9.0	0.0	0.0
拼命地	1.0	3.0	0.0	0.0
吃一吃	10.0	5.2	7.0	1.0
原来的	12.0	7.583333333333333	1.0	0.0
修女	11.0	5.909090909090909	3.0	0.0
提高	1.0	7.0	0.0	0.0
热量	2.0	4.0	2.0	0.0
站站看	1.0	3.0	0.0	0.0
钻石	2.0	7.5	1.0	0.0
拜	26.0	4.8076923076923075	7.0	0.0
green	1.0	1.0	1.0	1.0
其余	2.0	5.5	0.0	0.0
下定决心	3.0	8.666666666666666	0.0	0.0
蜻蜓	20.0	4.35	5.0	1.0
辊子	1.0	7.0	0.0	0.0
牙齿	222.0	6.256756756756757	54.0	3.0
胀胀	1.0	4.0	0.0	0.0
情境	1.0	10.0	0.0	0.0
服装	1.0	4.0	1.0	0.0
气温	2.0	7.0	0.0	0.0
鸽子	29.0	6.379310344827586	2.0	0.0
笑脸	3.0	4.0	2.0	0.0
小青	1.0	3.0	0.0	0.0
白云	14.0	6.857142857142857	3.0	1.0
罚跪	1.0	5.0	0.0	0.0
豆腐衣	7.0	5.0	3.0	0.0
维修	2.0	4.0	1.0	0.0
复	1.0	12.0	1.0	0.0
you1	2.0	7.0	0.0	0.0
改	27.0	7.111111111111111	1.0	0.0
小姑娘	6.0	6.833333333333333	1.0	0.0
r	5.0	3.4	0.0	0.0
余家君	1.0	5.0	0.0	0.0
会堂	1.0	1.0	1.0	1.0
电话	443.0	6.27313769751693	185.0	14.0
裤子	180.0	5.933333333333334	35.0	0.0
比比看	10.0	4.7	3.0	1.0
军人	3.0	9.333333333333334	0.0	0.0
迪	4.0	4.0	1.0	0.0
放炮	5.0	4.2	2.0	0.0
麻吉	2.0	4.0	1.0	0.0
荷尔德林	1.0	17.0	0.0	0.0
eating	2.0	2.5	2.0	0.0
火山	3.0	4.333333333333333	0.0	0.0
好意思	25.0	5.32	7.0	0.0
记	117.0	7.547008547008547	7.0	0.0
橱	18.0	8.055555555555555	2.0	0.0
斟	1.0	6.0	0.0	0.0
听听	69.0	7.2898550724637685	19.0	1.0
杀鸡取卵	2.0	4.0	1.0	0.0
飞机场	21.0	4.714285714285714	9.0	1.0
违规	2.0	1.5	1.0	1.0
额	23.0	7.3478260869565215	1.0	0.0
橙汁	9.0	7.777777777777778	2.0	0.0
博山	2.0	5.0	0.0	0.0
晒晒	2.0	5.0	0.0	0.0
外用药	11.0	5.363636363636363	4.0	1.0
地热	1.0	4.0	0.0	0.0
琳琳	12.0	8.0	2.0	0.0
虫子	147.0	7.523809523809524	58.0	4.0
演讲	13.0	4.384615384615385	8.0	0.0
警察	154.0	6.5	29.0	1.0
棉花糖	2.0	9.0	1.0	0.0
餐	25.0	6.56	11.0	0.0
宝马	6.0	2.8333333333333335	2.0	2.0
抓住	25.0	6.64	0.0	0.0
谈话	3.0	6.666666666666667	1.0	0.0
好使	1.0	13.0	0.0	0.0
冰冷	1.0	3.0	1.0	0.0
口头禅	2.0	5.0	2.0	0.0
li	1.0	8.0	0.0	0.0
味儿	6.0	8.833333333333334	3.0	0.0
英雄	6.0	7.0	3.0	0.0
房子	1111.0	7.292529252925292	316.0	19.0
每	232.0	9.793103448275861	0.0	0.0
苗	24.0	9.416666666666666	7.0	0.0
细细的	4.0	5.5	1.0	1.0
对对齐	2.0	3.0	1.0	0.0
祝灏佳	1.0	10.0	0.0	0.0
兮兮	13.0	8.76923076923077	0.0	0.0
北极	23.0	5.782608695652174	6.0	0.0
灯光	23.0	8.391304347826088	0.0	0.0
差	89.0	5.280898876404494	5.0	0.0
贪	4.0	6.25	0.0	0.0
cheng2zan4牛奶	2.0	3.0	1.0	0.0
质问	1.0	3.0	0.0	0.0
眼神儿	1.0	5.0	0.0	0.0
手套	51.0	4.666666666666667	20.0	3.0
兰欣	6.0	13.333333333333334	0.0	0.0
泰迪熊	2.0	1.5	1.0	1.0
娄	20.0	7.55	0.0	0.0
啥子	1.0	4.0	1.0	0.0
陈璐	1.0	1.0	1.0	1.0
自个	2.0	4.5	0.0	0.0
挑衅	1.0	7.0	0.0	0.0
压一压	6.0	3.3333333333333335	3.0	1.0
揪	2.0	3.5	0.0	0.0
skirt	1.0	7.0	1.0	0.0
值	2.0	8.0	0.0	0.0
回去	334.0	6.059880239520958	109.0	1.0
床床	3.0	9.333333333333334	1.0	0.0
麦苗	1.0	4.0	0.0	0.0
挑	67.0	6.537313432835821	5.0	0.0
朵	330.0	8.409090909090908	9.0	1.0
围兜	5.0	4.6	0.0	0.0
警长	1.0	5.0	1.0	0.0
压力	1.0	4.0	0.0	0.0
使用	7.0	8.428571428571429	0.0	0.0
开车	112.0	6.357142857142857	38.0	6.0
核对	2.0	7.0	0.0	0.0
眼巴巴	2.0	6.0	0.0	0.0
dong2dong2dong2bom	1.0	1.0	1.0	1.0
食物	101.0	9.504950495049505	25.0	0.0
欺骗	1.0	11.0	0.0	0.0
东瓜瓜	4.0	2.5	2.0	2.0
加盖	2.0	7.5	0.0	0.0
大妈	2.0	4.0	1.0	0.0
鹿鹿	3.0	4.666666666666667	0.0	0.0
组成	5.0	6.6	0.0	0.0
行走	2.0	6.0	0.0	0.0
脸脸	3.0	2.6666666666666665	2.0	1.0
足球队	1.0	5.0	0.0	0.0
some	6.0	4.0	0.0	0.0
蛆	1.0	7.0	0.0	0.0
教训	6.0	8.5	0.0	0.0
舒坦	2.0	5.0	0.0	0.0
金雨婷	1.0	9.0	0.0	0.0
好客	3.0	8.333333333333334	0.0	0.0
常识	3.0	7.333333333333333	0.0	0.0
猪八戒	13.0	3.923076923076923	6.0	0.0
枕头	94.0	6.223404255319149	31.0	5.0
丰衣足食	1.0	8.0	1.0	0.0
照	363.0	6.289256198347108	35.0	2.0
心疼	1.0	7.0	0.0	0.0
叉子	80.0	4.6	29.0	10.0
zi	1.0	4.0	0.0	0.0
托一	2.0	6.0	0.0	0.0
突然	220.0	16.527272727272727	2.0	0.0
豆苗	4.0	8.75	1.0	0.0
红果	1.0	4.0	1.0	0.0
扣	69.0	5.434782608695652	9.0	0.0
朝前	1.0	5.0	0.0	0.0
好吃的	342.0	6.812865497076023	148.0	7.0
寒假	1.0	6.0	0.0	0.0
摄像头	5.0	5.4	0.0	0.0
松鼠	102.0	6.0588235294117645	28.0	1.0
修	152.0	6.4605263157894735	20.0	0.0
积塑	2.0	4.5	1.0	0.0
白日依山尽	2.0	5.0	0.0	0.0
柠檬	18.0	5.722222222222222	7.0	4.0
机械	2.0	13.5	0.0	0.0
德行	2.0	4.5	2.0	0.0
对门	1.0	4.0	0.0	0.0
购物	3.0	5.0	0.0	0.0
冰糖	13.0	4.846153846153846	6.0	3.0
认认真真的	1.0	11.0	0.0	0.0
收收	10.0	4.9	3.0	1.0
钻进	1.0	3.0	0.0	0.0
晓得不晓得	2.0	4.5	1.0	0.0
水龙头	82.0	5.536585365853658	31.0	5.0
鼓鼓的	1.0	2.0	0.0	0.0
邮差	5.0	5.0	1.0	1.0
鼻头	2.0	12.5	1.0	0.0
嚓嚓	3.0	4.0	1.0	0.0
非常地	2.0	4.5	0.0	0.0
点子	1.0	9.0	0.0	0.0
跳跳	16.0	6.0625	3.0	2.0
放不放	1.0	4.0	0.0	0.0
差点	12.0	7.916666666666667	0.0	0.0
干扰	2.0	6.0	0.0	0.0
溺水	1.0	4.0	0.0	0.0
皮乐	3.0	4.666666666666667	0.0	0.0
朱梓宁	2.0	9.0	2.0	0.0
修补	16.0	10.0625	0.0	0.0
魔	19.0	7.105263157894737	0.0	0.0
郑书妍	1.0	8.0	0.0	0.0
骡马	1.0	1.0	1.0	1.0
接住	8.0	3.75	3.0	1.0
力	166.0	5.283132530120482	69.0	0.0
广告	246.0	9.142276422764228	154.0	2.0
猎	2.0	8.0	0.0	0.0
哐隆哐隆	1.0	1.0	1.0	1.0
帆	5.0	5.2	1.0	0.0
妹格	2.0	3.5	0.0	0.0
哼哼	27.0	3.037037037037037	19.0	10.0
biu	1.0	1.0	1.0	1.0
好吧	93.0	2.967741935483871	86.0	43.0
午饭	17.0	6.294117647058823	3.0	0.0
甘心	5.0	5.0	1.0	0.0
互	3.0	13.333333333333334	0.0	0.0
小王	1.0	9.0	0.0	0.0
鸽	2.0	3.5	1.0	0.0
足球	63.0	4.444444444444445	29.0	6.0
上云	1.0	5.0	0.0	0.0
对待	10.0	9.3	0.0	0.0
住院	11.0	6.181818181818182	5.0	3.0
啊气	1.0	1.0	1.0	1.0
牵晴间	5.0	5.0	2.0	0.0
印尼	1.0	6.0	0.0	0.0
水蜜桃	8.0	2.875	6.0	2.0
hard	1.0	3.0	1.0	0.0
press	1.0	4.0	0.0	0.0
公共	41.0	5.170731707317073	0.0	0.0
野生动物	2.0	5.0	0.0	0.0
终	1.0	14.0	0.0	0.0
质量	1.0	7.0	0.0	0.0
标牌	1.0	5.0	0.0	0.0
惧怕	1.0	5.0	0.0	0.0
干掉	5.0	6.2	0.0	0.0
dozai	3.0	5.0	2.0	0.0
负责	13.0	6.538461538461538	0.0	0.0
安上	1.0	1.0	1.0	1.0
省心	1.0	7.0	0.0	0.0
静	6.0	7.333333333333333	2.0	0.0
拼	961.0	5.513007284079085	164.0	4.0
红豆	18.0	3.8333333333333335	7.0	6.0
onon	8.0	3.5	3.0	1.0
流行	7.0	8.285714285714286	4.0	0.0
厉不厉害	1.0	6.0	1.0	0.0
熟练	2.0	5.0	1.0	0.0
