word	word_count	mean_sent_length	final_count	solo_count
teníamos	58.0	9.620689655172415	11.0	0.0
pasto	13.0	7.769230769230769	8.0	0.0
avienta	3.0	12.666666666666666	0.0	0.0
hamster	6.0	4.166666666666667	4.0	0.0
fijaste	7.0	6.571428571428571	4.0	0.0
colmo	4.0	10.25	1.0	0.0
rabicola	2.0	12.0	1.0	0.0
mosqueteros	2.0	8.0	2.0	0.0
corrígeme	1.0	6.0	0.0	0.0
escrito	32.0	10.625	8.0	0.0
menganuti	2.0	1.0	2.0	2.0
despedirte	2.0	3.5	2.0	0.0
tócala	4.0	3.0	2.0	1.0
sientaté	1.0	2.0	0.0	0.0
humito	1.0	5.0	1.0	0.0
tactor	6.0	4.833333333333333	3.0	0.0
concejal	2.0	6.5	2.0	0.0
veías	19.0	6.7894736842105265	2.0	0.0
biscotes	1.0	3.0	0.0	0.0
pringa	1.0	5.0	1.0	0.0
azotea	2.0	21.5	0.0	0.0
enfadándose	1.0	2.0	0.0	0.0
rían	1.0	4.0	0.0	0.0
charlando	3.0	6.333333333333333	1.0	0.0
tropezaste	1.0	8.0	0.0	0.0
brie	19.0	5.7894736842105265	13.0	0.0
moneditas	3.0	5.666666666666667	3.0	0.0
actuar	5.0	6.4	0.0	0.0
cárceles	1.0	7.0	0.0	0.0
guirnaldas	1.0	16.0	1.0	0.0
cenastes	1.0	3.0	0.0	0.0
mane	1.0	6.0	1.0	0.0
considerat	1.0	2.0	1.0	0.0
señor_gato	2.0	3.0	2.0	0.0
pictionary	1.0	5.0	0.0	0.0
títere	3.0	5.666666666666667	2.0	0.0
par	18.0	8.833333333333334	3.0	1.0
malitos	6.0	7.5	4.0	0.0
pablo	63.0	7.380952380952381	33.0	5.0
calculadora	2.0	7.0	0.0	0.0
palín	1.0	8.0	0.0	0.0
vuelen	1.0	11.0	0.0	0.0
demas	6.0	7.666666666666667	2.0	0.0
sígueme	5.0	5.8	1.0	1.0
hebrea	3.0	9.333333333333334	0.0	0.0
hunden	2.0	16.5	0.0	0.0
callen	1.0	9.0	1.0	0.0
niñín	2.0	9.0	1.0	0.0
peino	11.0	6.2727272727272725	5.0	1.0
consiguió	4.0	7.25	1.0	0.0
frascos	3.0	5.666666666666667	3.0	0.0
alquitara	1.0	4.0	1.0	0.0
ratona	1.0	4.0	1.0	0.0
burla	3.0	5.0	2.0	0.0
aconsejaba	1.0	5.0	0.0	0.0
quedad	1.0	6.0	1.0	0.0
démelas	1.0	2.0	0.0	0.0
ricardo	23.0	8.043478260869565	9.0	0.0
papelera	19.0	6.631578947368421	11.0	0.0
mostrando	3.0	10.333333333333334	1.0	0.0
bunny	3.0	4.0	3.0	0.0
prefieren	2.0	5.5	1.0	0.0
grabadora	18.0	8.777777777777779	5.0	0.0
acertijo	2.0	16.5	1.0	0.0
agachado	1.0	2.0	1.0	0.0
pingüíno	8.0	4.625	5.0	0.0
solito	60.0	6.016666666666667	43.0	2.0
pinguino	1.0	8.0	0.0	0.0
dadnos	1.0	10.0	0.0	0.0
venian	1.0	22.0	0.0	0.0
lanzado	2.0	15.0	1.0	0.0
six	1.0	7.0	0.0	0.0
puestas	16.0	13.625	8.0	0.0
ruauf	1.0	3.0	1.0	0.0
mariquitas	1.0	2.0	1.0	0.0
universidad	42.0	7.785714285714286	30.0	0.0
renuncio	2.0	8.0	1.0	0.0
platja	2.0	4.5	1.0	0.0
lemons	1.0	6.0	0.0	0.0
quejarte	1.0	3.0	1.0	0.0
marcadita	1.0	4.0	1.0	0.0
juegas	257.0	7.003891050583658	68.0	1.0
desenladrillador	2.0	8.0	0.0	0.0
cuentamele	1.0	4.0	0.0	0.0
besitos	12.0	6.666666666666667	5.0	0.0
verjas	1.0	19.0	0.0	0.0
buscaros	1.0	11.0	0.0	0.0
oh	961.0	4.733610822060354	255.0	217.0
portaré	1.0	9.0	0.0	0.0
regresé	1.0	3.0	1.0	0.0
ejerciendo	1.0	5.0	0.0	0.0
hubieséis	1.0	6.0	0.0	0.0
méxico	8.0	5.0	6.0	0.0
veintisiete	7.0	7.428571428571429	2.0	0.0
cuentas	488.0	7.391393442622951	139.0	0.0
distancias	1.0	13.0	0.0	0.0
volcado	2.0	7.0	0.0	0.0
haciendo	1496.0	6.011363636363637	609.0	1.0
porqué	1417.0	3.812985179957657	564.0	457.0
plasplaus	6.0	5.166666666666667	4.0	0.0
atarle	2.0	6.5	0.0	0.0
cargue	1.0	16.0	0.0	0.0
tiraqba	1.0	19.0	0.0	0.0
escondieron	2.0	5.0	1.0	0.0
romperlos	1.0	18.0	0.0	0.0
concurse	3.0	6.0	3.0	0.0
burra	4.0	4.0	4.0	1.0
chucho	7.0	6.142857142857143	2.0	1.0
abanico	3.0	3.3333333333333335	3.0	1.0
apiladas	1.0	3.0	1.0	0.0
apuntando	1.0	4.0	0.0	0.0
cucharadita	5.0	7.2	1.0	0.0
tuercas	4.0	45.0	1.0	0.0
imaginaba	2.0	7.5	0.0	0.0
marginé	1.0	5.0	0.0	0.0
muchísima	4.0	8.25	0.0	0.0
leopardo	15.0	5.266666666666667	12.0	0.0
pendiente	20.0	5.85	15.0	0.0
atornillarle	2.0	12.0	0.0	0.0
leyéndo	1.0	8.0	0.0	0.0
perica	3.0	5.666666666666667	2.0	0.0
amelos	2.0	2.5	2.0	0.0
jei	1.0	16.0	0.0	0.0
irían	5.0	8.8	1.0	0.0
persigo	1.0	3.0	1.0	0.0
murieron	15.0	4.533333333333333	7.0	0.0
supuestamente	3.0	10.666666666666666	1.0	0.0
interesara	1.0	6.0	1.0	0.0
rezado	1.0	30.0	0.0	0.0
sujetamos	1.0	3.0	1.0	0.0
maizoro	3.0	4.0	3.0	0.0
galope	22.0	6.863636363636363	6.0	0.0
sindical	1.0	9.0	0.0	0.0
varios	11.0	8.181818181818182	1.0	0.0
ciruela	20.0	9.2	14.0	2.0
electricista	2.0	5.5	1.0	0.0
aquestes	3.0	8.0	0.0	0.0
abajo	461.0	7.199566160520607	260.0	15.0
dejarle	7.0	10.285714285714286	0.0	0.0
titiritero	1.0	1.0	1.0	1.0
veu	5.0	7.2	0.0	0.0
pluja	1.0	12.0	0.0	0.0
despeluchado	1.0	5.0	1.0	0.0
lanzando	2.0	6.0	0.0	0.0
abren	33.0	6.818181818181818	11.0	0.0
queso	269.0	6.37546468401487	123.0	14.0
pasear	120.0	7.491666666666666	84.0	1.0
hoguera	1.0	19.0	1.0	0.0
aprieta	53.0	3.5283018867924527	20.0	7.0
pinturitas	2.0	2.0	2.0	1.0
movimientos	1.0	7.0	1.0	0.0
reme	6.0	6.833333333333333	2.0	1.0
fermín	13.0	7.846153846153846	6.0	2.0
duchar	22.0	6.409090909090909	11.0	0.0
pa'ca	1.0	11.0	1.0	0.0
llevarla	8.0	7.625	2.0	0.0
entrenadora	6.0	6.0	1.0	0.0
atravieses	1.0	8.0	1.0	0.0
tsuru	1.0	6.0	0.0	0.0
parte	293.0	9.133105802047782	48.0	0.0
hueca	1.0	8.0	1.0	0.0
grados	3.0	7.0	1.0	0.0
