Token	UniLemma	AoA	AdjustedDiversity	Diversity	LogFreq	LexicalClass	NChars	Concreteness	MLU
fatigué	tired	26.6478490452389	-11.6322517205665	80	-2.77063215254228	adjectives	7	3	6.2156862745098
fauteuil	armchair	27.4477191562355	1.26302824245853	69	-3.23672188246688	nouns	8	5	7.25
fenêtre	window	26.5053710561317	6.59604680058487	136	-2.23654966661202	nouns	7	4.86	8.03448275862069
fermer	close	23.974756126074	-43.6084123304301	144	-1.65903266834736	verbs	6	3.2	6.52903225806452
fesses	butt	23.3532421367882	13.9432071206561	119	-2.55932305887507	nouns	6	4.75	8.36507936507937
feuille	paper	23.6944205971424	10.1974690991531	91	-2.96478816698324	nouns	7	4.93	8.23809523809524
figure	face	26.9567339783459	8.71307317270937	87	-3.01357833115267	nouns	6	4.87	9.275
fille	girl	24.8251860075379	-66.0983636919602	244	-0.870575307983089	other	5	4.85	7.87683284457478
finir	finish	26.1830513663017	39.975947562671	176	-2.1591630029966	verbs	5	2.89	7.80851063829787
fleur	flower	21.7490706614611	-21.9755215641332	82	-2.57532340022151	nouns	5	5	5.7741935483871
four	oven	27.2030978837632	-11.6623866614974	49	-3.40662091926228	nouns	4	4.97	8
fourchette	fork	22.2929280506118	-6.5996744375406	113	-2.35865236341292	nouns	10	4.9	6.75324675324675
fourmi	ant	26.696976017462	-7.78852794132081	15	-4.91069831603855	nouns	6	4.86	5.16666666666667
frapper	knock	30.4539105728586	-21.7925186164269	50	-3.14710972377719	verbs	7	4.24	9
frère	brother	29.8101671778484	0.319837494039149	253	-1.19306944863863	other	5	4.43	11.0688259109312
frigo	refrigerator	26.7040796521867	-0.704259688072455	57	-3.48358196039841	nouns	5	5	9.04
froid	cold	22.1401188752863	-31.296536569213	167	-1.57255907034353	adjectives	5	3.85	7.5207100591716
fromage	cheese	23.0556096106602	3.41537969001899	121	-2.3849696717303	nouns	7	4.7	6.37333333333333
gants	gloves	25.1634740259797	3.42241387199562	43	-4.06340045565135	nouns	5	4.09317226890756	9.57142857142857
garage	garage	26.9198876782703	0.337613338502607	61	-3.40662091926228	nouns	6	4.96	7.96296296296296
garçon	boy	24.5729385311003	-35.3956287592198	277	-0.858913368235246	other	6	4.76	8.17971014492754
gâteau	cake	18.8803844215649	-231.320192224566	206	-0.32403160161502	nouns	6	4.81	6.45500848896435
genou	knee	25.2639205797059	-1.91389355620211	48	-3.70672551171262	nouns	5	5	7.15
gens	people	31.864321982936	39.7295365562701	192	-1.98395891397151	other	4	4.82	13.2410714285714
gentil	nice	25.9572914144172	-39.4526642166358	206	-1.238625980241	adjectives	6	2.18	7.13983050847458
girafe	giraffe	25.0803912241076	-37.5077823075307	89	-2.27164098642329	nouns	6	4.73	4.90476190476191
glace	ice cream	25.463125390943	-9.5860103139257	90	-2.64201477472019	nouns	5	4.89	7.86206896551724
glisser	slide (action)	28.542909156398	-1.54376034447014	62	-3.33516195528013	verbs	7	4.48	7.06896551724138
grand	big	25.392883792209	-31.1942546939844	490	-0.0418826354269202	adjectives	5	3.66	9.18693982074264
grand-mère	grandma	30.0107832424851	-7.07757385980477	0	-6.70245778526661	other	10	4.54	8.1714701145025
grand-père	grandpa	30.3421361676609	-7.07757385980477	0	-6.70245778526661	other	10	4.39	8.1714701145025
grenouille	frog	25.3779574506394	-63.1150654456964	147	-1.48210196018828	nouns	10	5	5.33513513513514
grimper	climb	30.8866853233192	-6.82660127138804	27	-4.30456251246824	verbs	7	4.11	6.27272727272727
grrrr	grrr	25.1336543105173	-12.4996535836103	2	-5.6038454965985	other	5	4.09317226890756	1.66666666666667
haut	high	28.9770135885546	7.24660752337101	256	-1.21766085177595	adjectives	4	3.46	7.61825726141079
hélicoptère	helicopter	27.9783214035628	18.5724283872756	93	-3.09153987262238	nouns	11	4.62	7.64864864864865
herbe	grass	26.4790616128652	59.9224261401952	67	-6.70245778526661	nouns	5	4.93	8.1714701145025
heure	time	31.744349486358	313.112051247434	416	-2.59158392109329	other	5	3.07	9.11475409836066
hibou	owl	28.7140218216432	-55.31457935298	76	-2.21382141553447	nouns	5	4.93	6.8314606741573
