Token	UniLemma	AoA	AdjustedDiversity	Diversity	LogFreq	LexicalClass	NChars	Concreteness	MLU
gabel	fork	22.1352985822869	17.2195765502287	201	-3.28690847635166	nouns	5	4.9	7.10967741935484
gans	goose	27.7911498090832	48.4742839347223	401	-2.35907175348045	nouns	4	4.81	7.53571428571429
garage	garage	27.8266513953432	25.4704607554739	270	-2.8835962216046	nouns	6	4.96	7.30603448275862
garten	garden	24.7387237216702	74.5483227771061	405	-2.45259781149127	nouns	6	4.73	8.44817927170868
geben	give	25.1661912588036	122.60152309644	735	-1.540236357757	verbs	5	2.83	9.50168728908886
gehen	walk	23.1912450519762	44.1294120797381	1105	-0.666925928377429	verbs	5	4.07	9.16533583842179
gelb	yellow	25.8312658109999	-148.087927099361	495	-1.46548581530005	adjectives	4	4.3	5.47494780793319
geschenk	present	25.7986975206506	47.2762814992223	204	-3.51005202766587	nouns	8	3.39	7.99193548387097
gesicht	face	26.3920747540777	108.333857644944	454	-2.38753421814421	nouns	7	4.87	8.7742782152231
gestern	yesterday	30.1997851117197	79.8778218012958	789	-1.31462117278368	other	7	3	8.91741472172352
giraffe	giraffe	24.5482287294069	55.503124335147	436	-2.24811468289446	nouns	7	4.73	6.8972602739726
glas	glass	24.3383770002418	73.6919425273971	345	-2.73562221366907	nouns	4	4.82	7.60966542750929
gras	grass	25.4674098208649	77.5674760753582	328	-2.84969466992892	nouns	4	4.93	7.225
groc	big	23.7024628007884	-10.4055020406063	0	-7.2317213046028	adjectives	5	3.66	7.44972997156923
grün	green	25.4346703959222	-161.409056490753	574	-1.25791169273354	adjectives	4	4.07	5.63189143341815
gut	good	24.9850906960901	-499.912936555585	2172	1.17513605179211	adjectives	3	1.64	5.00409439440185
haare	hair	20.5897083652611	-18.5508818862201	564	-1.61616306336144	nouns	5	4.97	7.10436893203883
halten	hold	27.3419382196316	79.8465350279193	506	-2.08229071876248	verbs	6	3.68	8.77949709864603
