Token	UniLemma	AoA	AdjustedDiversity	Diversity	LogFreq	LexicalClass	NChars	Concreteness	MLU
咬	bite	18.8728132902442	16.9514886992486	375	-1.11252663313222	verbs	1	4.44	6.28937728937729
咸	salty	22.5111197369533	-10.5559039587734	65	-3.50312260344898	adjectives	1	3.93	5.06
咽	swallow	21.4941692472402	-15.3496163209938	68	-3.35470259833071	verbs	1	3.89	5.29310344827586
哥哥	brother	13.597915367779	54.694251649127	498	-0.772658807509873	other	2	4.43	6.85788787483703
哪个	which (question)	24.8470683446319	18.0212863909205	171	-2.43153898716879	function_words	2	1.54	4.65753424657534
唱	sing	19.3656993342485	-20.3308698438335	474	-0.597315037422979	verbs	1	4.34	5.91684901531729
商店	store	22.4798548574537	20.0343285753032	69	-4.15704907085565	other	2	4.5	8.30769230769231
啚	a	19.6218546155353	-5.5628805484042	0	-7.41514560887713	function_words	1	1.46	6.35320105548055
喂	feed	18.8818599214389	-132.053549176171	304	-0.799080423744312	verbs	1	4.17	4.30522088353414
喜欢	finished	20.8002907009148	71.7033224322806	902	0.263180747629757	adjectives	2	2.78	6.6760758907913
喜欢	love	19.1750022342265	71.7033224322806	902	0.263180747629757	verbs	2	2.07	6.6760758907913
喝	drink (action)	17.303882410718	-119.62766065076	626	0.080396335007127	verbs	1	4.76	6.11111111111111
喳喳	tweet tweet	17.2547872757425	-5.5628805484042	0	-7.41514560887713	other	2	3.52	6.35320105548055
喵	meow	14.4713155213715	-28.1743379556399	37	-3.72626615476319	other	1	3.92	4.825
嘀嘀	vroom	14.9681481523316	-4.5628805484042	1	-7.41514560887713	other	2	4.12394366197183	2
嘞嘞	quack quack	16.2038241583835	-5.5628805484042	0	-7.41514560887713	other	2	3.93	6.35320105548055
嘴	mouth	18.478280611516	24.9873271982755	201	-2.2166485776113	nouns	1	4.74	5.88950276243094
嚨物	animal	23.1265059431813	-5.5628805484042	0	-7.41514560887713	nouns	2	4.61	6.35320105548055
嚨物园	zoo	22.5249333897693	-5.5628805484042	0	-7.41514560887713	other	3	4.81	6.35320105548055
困了	loud	20.1113582595682	-5.5628805484042	0	-7.41514560887713	adjectives	2	3.73	6.35320105548055
困了	sleepy	20.48206624781	-5.5628805484042	0	-7.41514560887713	adjectives	2	2.77	6.35320105548055
围嘴	bib	23.8884821029959	-6.05683688535541	8	-6.02885124775724	nouns	2	4.79	5.25
围巾	scarf	21.4335105027324	8.66885217856887	31	-5.33570406719729	nouns	2	4.97	7.125
圅	bag	16.3340053926678	-5.5628805484042	0	-7.41514560887713	nouns	1	4.9	6.35320105548055
在	at	20.4871696133883	185.67880919744	2547	2.29475719458633	function_words	1	2.07	7.14114077669903
在哪釜	where (question)	22.3136402970822	-5.5628805484042	0	-7.41514560887713	function_words	3	1.66	6.35320105548055
坏	bad	19.6039965420069	-19.2399231329002	578	-0.289058335578004	adjectives	1	1.68	6.16479099678457
坏了	broken	20.3929938646483	-5.5628805484042	0	-7.41514560887713	adjectives	2	4.11	6.35320105548055
坐	sit	17.3592403228899	-149.32169762667	808	0.509650305079306	verbs	1	4.8	5.8998191681736
垃圾	trash	22.1976897893064	-155.221785299947	222	-1.0299512098794	nouns	2	4.7	8.5008431703204
垕所	bathroom	21.6368687170006	-5.5628805484042	0	-7.41514560887713	nouns	2	4.52	6.35320105548055
垨房	kitchen	22.1286541100667	-5.5628805484042	0	-7.41514560887713	nouns	2	4.97	6.35320105548055
垻	go	18.2482979415739	-5.5628805484042	0	-7.41514560887713	verbs	1	3.15	6.35320105548055
外头	outside	18.1699308860536	8.29426421276109	56	-4.19626978400893	other	2	4.25	5.32
外面	outside	20.8065770125464	27.5630397768966	605	-0.344421501616852	function_words	2	4.25	8.19541206457094
多	many	19.4628621904212	165.372328630959	1129	0.521157084324831	function_words	1	2.37	7.39792634966035
大	big	16.7153214515439	-203.422485314219	1489	1.57330043118528	adjectives	1	3.66	8.20062421972534
大拇朇	thumb	23.9105042568358	-5.5628805484042	0	-7.41514560887713	nouns	3	4.96	6.35320105548055
大衣	coat	24.9369736221388	-2.84419774808321	6	-6.72199842831718	nouns	2	4.97	5
