Token	Diversity	DiversityEntropy	CountPerThousand	MLU
sujeta	55	5.13696813583374	0.02785668228552608	6.647058823529412
cola	154	6.087684631347656	0.09749838799934127	6.529411764705882
paro	19	4.040925979614258	0.009012456033552555	4.636363636363637
chichón	24	4.03282356262207	0.014747655327631453	9.444444444444445
oviedo	24	4.32499885559082	0.00819314184868414	4.8
durante	65	5.742733478546143	0.01638628369736828	11.7
parecen	92	6.100709915161133	0.03768845250394705	6.5
poquitín	33	4.771586894989014	0.009831770218420969	7.083333333333333
conocimiento	30	4.61156702041626	0.00819314184868414	8.7
playa	202	5.673285484313965	0.14419929653684088	7.778409090909091
cuelga	40	4.880960941314697	0.018844226251973524	4.695652173913044
rangers	45	4.878718852996826	0.01638628369736828	8.1
ss	2	1.000151515007019	0.017205597882236696	1.0952380952380953
ositos	53	5.122332572937012	0.02048285462171035	7.2
bolas	154	6.194577217102051	0.10896878658749906	7.706766917293233
mai	27	4.350958824157715	0.010651084403289383	6.6923076923076925
cole	427	6.613621711730957	0.49322713929078527	8.782392026578073
frutas	56	5.312633514404297	0.02212148299144718	7.222222222222222
camino	93	5.3144145011901855	0.05980993549539423	8.753424657534246
beñat	91	6.152636528015137	0.03768845250394705	7.108695652173913
encierro	39	4.861194133758545	0.01392834114276304	7.294117647058823
cestita	29	4.294816970825195	0.009831770218420969	8.5
jesús	91	6.064500331878662	0.04424296598289436	6.148148148148148
gorda	76	5.761838912963867	0.03523050994934181	6.395348837209302
verla	92	5.746203422546387	0.03359188157960498	7.609756097560975
acabaste	15	3.2800872325897217	0.009831770218420969	3.9166666666666665
revista	49	5.247936725616455	0.011470398588157796	7.357142857142857
hierba	99	5.978254318237305	0.06390650641973629	5.551282051282051
koki	121	5.761460304260254	0.10077564473881492	5.300813008130081
ángeles	44	5.055617332458496	0.017205597882236696	6.095238095238095
com	102	6.1010284423828125	0.05325542201644691	7.3076923076923075
tia	37	4.833959102630615	0.010651084403289383	8.615384615384615
tumbado	35	3.3433516025543213	0.01802491206710511	8.727272727272727
quien	401	7.074460029602051	0.3449312718296023	6.738717339667458
amigas	223	6.770442485809326	0.11552330006644639	8.4822695035461
lleno	84	5.435830593109131	0.03850776668881546	6.0638297872340425
llevé	24	2.8788247108459473	0.013109026957894624	8.3125
mono	206	6.327686309814453	0.16140489441907757	6.517766497461929
delfines	36	4.642337799072266	0.013109026957894624	8.1875
otras	276	6.893805980682373	0.16058558023420916	8.612244897959183
lados	45	5.0284833908081055	0.015566969512499867	8.842105263157896
estantería	31	4.391272068023682	0.011470398588157796	6.5
descalza	39	5.078194618225098	0.010651084403289383	8.76923076923077
sueles	95	5.27906608581543	0.07128033408355203	6.103448275862069
trote	2	0.9820919632911682	0.017205597882236696	4.761904761904762
bruja	141	5.8107194900512695	0.08848593196578872	7.425925925925926
puestos	28	3.1973094940185547	0.017205597882236696	7.0476190476190474
donuts	38	4.996418476104736	0.011470398588157796	7.785714285714286
pirámide	21	3.9747984409332275	0.011470398588157796	6.857142857142857
pera	81	5.660669803619385	0.049978165276973255	5.491803278688525
salida	28	4.422112941741943	0.00819314184868414	8.1
gel	44	4.9426774978637695	0.015566969512499867	8.263157894736842
vestirte	34	4.760555744171143	0.009831770218420969	10.416666666666666
piñata	41	4.862584114074707	0.013109026957894624	9.3125
chiquitín	124	6.2487077713012695	0.07209964826842044	6.579545454545454
sacaba	38	4.85986852645874	0.010651084403289383	8.846153846153847
significa	55	5.003165245056152	0.025398739730920834	7.32258064516129
film	1	0.00015092188550624996	0.013109026957894624	16.0
adorno	28	4.42638635635376	0.01228971277302621	6.2
ikastola	69	4.747472763061523	0.04014639505855229	7.3061224489795915
dejame	56	5.400345802307129	0.019663540436841938	6.666666666666667
ningún	265	6.2623610496521	0.1515731242006566	9.356756756756758
dibuje	25	3.9786105155944824	0.010651084403289383	5.6923076923076925
sentía	48	3.0832746028900146	0.03277256739473656	9.2
ayudó	22	2.5113558769226074	0.011470398588157796	7.5
broma	50	5.042397499084473	0.021302168806578765	7.115384615384615
tías	17	2.018810749053955	0.01638628369736828	6.7
cara	337	6.796808242797852	0.2515294547546031	7.407166123778501
patinete	128	5.654966354370117	0.09831770218420968	6.333333333333333
pintar	309	6.3957672119140625	0.3498471569388128	6.540983606557377
blanco	163	6.258166790008545	0.12617438446973575	6.4935064935064934
aún	125	5.088923454284668	0.07291896245328885	7.213483146067416
magia	49	5.386944770812988	0.013109026957894624	8.625
enséñale	61	5.3777008056640625	0.028675996470394493	6.057142857142857
noelia	28	4.721761703491211	0.00819314184868414	7.3
ahora	1908	7.92054557800293	4.769227870119038	6.420889881463666
tumbada	38	5.0787129402160645	0.009012456033552555	6.363636363636363
jirafa	72	5.211065292358398	0.04260433761315753	5.134615384615385
atole	0	nan	0.0	NA
portado	60	5.061576843261719	0.02785668228552608	9.617647058823529
vocales	29	4.225302696228027	0.011470398588157796	6.857142857142857
cangrejos	19	4.006900310516357	0.00819314184868414	5.7
poni	35	4.944385528564453	0.011470398588157796	7.0
dónde	1632	7.543582916259766	5.464825613072322	4.875712143928036
ratita	47	4.926520347595215	0.021302168806578765	5.846153846153846
búscalos	10	0.8354597687721252	0.017205597882236696	8.571428571428571
saqué	35	4.937089443206787	0.009012456033552555	9.363636363636363
colocas	72	5.698272228240967	0.02785668228552608	6.4411764705882355
x	43	5.191697597503662	0.01392834114276304	8.529411764705882
jolin	49	5.246084213256836	0.028675996470394493	5.6
uñas	80	5.422624111175537	0.04506228016776277	6.8
subes	82	4.895635604858398	0.04424296598289436	8.75925925925926
dani	97	6.332820892333984	0.03850776668881546	5.531914893617022
magín	316	7.2784576416015625	0.2777475086703924	4.92330383480826
zonza	19	2.7918877601623535	0.009831770218420969	5.75
conductor	41	4.88789176940918	0.01392834114276304	7.470588235294118
entrenador	39	5.08838415145874	0.009012456033552555	10.363636363636363
vives	114	4.953316688537598	0.14174135398223564	5.300578034682081
bodega	23	3.832909345626831	0.009831770218420969	6.75
vi	138	5.910477638244629	0.08111210430197299	8.575757575757576
tazas	30	4.603114604949951	0.009831770218420969	6.416666666666667
va	1583	7.319613456726074	3.8655243242091775	7.401653242899534
días	370	6.7204790115356445	0.33018361650197087	7.66501240694789
buenos_días	13	3.6646485328674316	0.01228971277302621	1.9333333333333333
soy	349	6.565394401550293	0.41129572080394383	7.00199203187251
hiciera	21	3.74857759475708	0.009831770218420969	5.916666666666667
travieso	32	4.766775131225586	0.009012456033552555	7.181818181818182
yaya	83	5.198769569396973	0.05325542201644691	6.6461538461538465
bañar	127	5.636074542999268	0.0934018170749992	7.412280701754386
pincha	73	5.710102558135986	0.04915885109210484	3.816666666666667
dálmatas	25	4.207626819610596	0.00819314184868414	6.7
caiga	89	4.811399459838867	0.06062924968026264	9.013513513513514
paquete	35	4.794402122497559	0.009012456033552555	7.909090909090909
conta	59	5.069758415222168	0.025398739730920834	8.64516129032258
alas	129	6.177073955535889	0.08275073267170982	9.722772277227723
sofá	90	5.662569046020508	0.04014639505855229	7.224489795918367
torres	45	4.9194841384887695	0.022940797176315593	5.321428571428571
estropeas	33	4.514315128326416	0.01392834114276304	6.882352941176471
miércoles	41	4.758209705352783	0.01228971277302621	14.866666666666667
estabais	55	5.357302665710449	0.017205597882236696	7.285714285714286
tronco	30	4.438661098480225	0.010651084403289383	8.153846153846153
bebas	28	4.153199195861816	0.011470398588157796	7.285714285714286
elefantes	38	4.834068775177002	0.017205597882236696	6.619047619047619
calzón	0	nan	0.0	NA
borrego	21	4.173707962036133	0.00819314184868414	9.4
piano	53	5.128900527954102	0.021302168806578765	7.423076923076923
afilado	32	3.844196081161499	0.0467009085374996	14.543859649122806
llavors	22	4.245619297027588	0.007373827663815727	7.444444444444445
comedor	83	5.543424129486084	0.03523050994934181	8.13953488372093
bé	65	5.157781600952148	0.054074736201315324	5.833333333333333
papito	69	5.734710216522217	0.025398739730920834	5.741935483870968
sepas	49	4.93742036819458	0.018844226251973524	8.434782608695652
sillón	82	5.56289005279541	0.04506228016776277	7.472727272727273
altos	21	4.179379463195801	0.00819314184868414	6.2
iii	118	6.2186055183410645	0.08602798941118348	5.476190476190476
baúl	23	4.096532821655273	0.009831770218420969	5.416666666666667
estudió	60	5.0384602546691895	0.047520222722368013	6.310344827586207
lavabo	16	3.537947177886963	0.007373827663815727	6.444444444444445
fútbol	140	5.561269283294678	0.1056915298480254	7.573643410852713
deja	325	6.771036148071289	0.2654577958973662	6.947530864197531
casita	447	6.748030662536621	0.47356359885394333	8.027681660899654
manches	16	3.3400914669036865	0.00819314184868414	6.1
déjamelo	27	4.528891563415527	0.019663540436841938	2.625
naranjas	29	4.5374531745910645	0.019663540436841938	4.375
bolita	46	5.0350141525268555	0.015566969512499867	12.894736842105264
tantos	100	6.240379333496094	0.03359188157960498	8.731707317073171
importa	132	5.416245460510254	0.08930524615065713	7.155963302752293
guárdalos	28	4.496999740600586	0.010651084403289383	6.153846153846154
hacerle	110	5.799715042114258	0.0409657092434207	8.68
