Token	Diversity	DiversityEntropy	CountPerThousand	MLU
surprised	285	6.324038982391357	0.04577080443660958	10.883040935672515
prayers	81	5.511837005615234	0.0072269691215699336	11.444444444444445
liked	706	6.890669822692871	0.14012290130155036	10.29512893982808
flat	285	6.917357921600342	0.03332435761612802	9.97991967871486
lock	210	6.367634296417236	0.02690038506362142	7.9054726368159205
early	394	6.949055194854736	0.06731787903980882	9.487077534791252
meike	109	3.7924394607543945	0.015390767573713746	8.582608695652175
simba	77	5.8647356033325195	0.0068254708370382704	4.431372549019608
hehehe	15	2.982438325881958	0.006557805314017162	1.7959183673469388
stem	115	5.669619083404541	0.011643450251418226	9.229885057471266
worm	232	6.376866340637207	0.029577040293832506	7.067873303167421
beads	222	6.563612461090088	0.03238752828555415	6.132231404958677
crawled	82	5.188668251037598	0.00588864150646439	10.545454545454545
truth	95	5.08908748626709	0.0108404536823549	8.88888888888889
nearest	25	3.3106532096862793	0.004684146652869401	13.2
rusty	80	6.030648231506348	0.005219477698911619	6.666666666666667
wink	30	1.6122334003448486	0.005487143221932727	17.829268292682926
stopping	82	5.750046253204346	0.006022474267974944	8.333333333333334
swamps	24	3.0226192474365234	0.004684146652869401	8.714285714285714
sandbox	157	5.739443778991699	0.019271917657519823	7.194444444444445
unusual	135	6.230365753173828	0.011911115774439334	9.797752808988765
swww	258	7.123054504394531	0.03747317322295521	4.807142857142857
cowboy	320	6.8617353439331055	0.04403097853697237	6.21580547112462
d	1035	6.759572505950928	0.49089856922071323	6.564340239912759
desert	105	5.672308444976807	0.010438955397823238	7.769230769230769
center	163	6.235146999359131	0.012847945105013215	10.229166666666666
arf	41	3.2171030044555664	0.01110811920537601	4.397590361445783
hoot	38	4.4889421463012695	0.00588864150646439	4.954545454545454
jen	125	6.360337257385254	0.01057278815933379	7.329113924050633
loud	423	7.003337860107422	0.08886495364300807	8.064759036144578
eater	139	5.790567874908447	0.01820125556543539	7.992647058823529
boom	232	4.351694583892822	0.1567181637288591	3.4235695986336463
bags	200	6.853442668914795	0.022082405649241462	9.333333333333334
pregnant	81	5.5351738929748535	0.005219477698911619	11.666666666666666
num	44	1.6540114879608154	0.024223729833410333	4.629834254143646
bwww	84	6.095743656158447	0.005620975983443281	6.309523809523809
may	889	7.358479022979736	0.20235513540395814	8.779761904761905
sully	92	6.168257236480713	0.004817979414379956	10.444444444444445
whom	98	6.009235382080078	0.0108404536823549	5.320987654320987
journey	45	3.689354181289673	0.015123102050692639	15.734513274336283
cricter	125	6.51099157333374	0.009100627782717695	9.147058823529411
bunk	67	5.403400897979736	0.0049518121758905095	7.675675675675675
bake	249	6.194756984710693	0.04577080443660958	8.301169590643275
food	1325	7.586740493774414	0.7129271205667228	9.178899943683122
or	3543	8.566316604614258	2.19713244571877	10.921240177864409
li	265	6.813570976257324	0.024357562594920886	8.494505494505495
cranberry	87	5.758265495300293	0.006156307029485499	6.6521739130434785
calm	121	5.397346496582031	0.01672909518881929	5.368
understood	88	5.71309232711792	0.005353310460422173	12.725
tenth	91	6.064353942871094	0.0049518121758905095	8.81081081081081
recognized	189	5.885836601257324	0.024357562594920886	12.60989010989011
claus	188	6.029740333557129	0.022082405649241462	7.460606060606061
lemon	177	6.443604469299316	0.020342579749604257	5.532894736842105
slippers	195	6.570223808288574	0.025562057448515876	6.539267015706806
trips	111	6.205654144287109	0.005620975983443281	11.785714285714286
ant	159	6.400917053222656	0.01887041937298816	6.219858156028369
sandra	111	6.463332653045654	0.009234460544228247	5.405797101449275
doctors	127	5.697708606719971	0.010974286443865455	9.158536585365853
her	3090	8.475831031799316	2.400156744930281	9.862328537972566
marker	101	5.827348709106445	0.008163798452143814	7.360655737704918
plum	73	5.400521278381348	0.008163798452143814	5.459016393442623
oh_boy	29	4.73636531829834	0.0077623001676121505	1.793103448275862
leave	1001	7.005537986755371	0.37580239432163653	7.781695156695156
owe	90	5.002696990966797	0.009100627782717695	8.705882352941176
closing	122	5.824697971343994	0.012044948535949888	6.188888888888889
disappeared	90	5.2445244789123535	0.008431463975164923	6.682539682539683
fallin	112	6.055732250213623	0.0108404536823549	5.481481481481482
fur	315	7.049339294433594	0.041621988829782394	7.829581993569132
cartoon	234	6.4402642250061035	0.02194857288773091	9.853658536585366
grampy	88	6.010572910308838	0.00588864150646439	6.181818181818182
football	399	6.799612998962402	0.09997307284838408	6.386880856760375
walrus	80	5.115085601806641	0.00896679502120714	5.059701492537314
gooey	76	4.930202007293701	0.006557805314017162	7.183673469387755
fascinated	107	5.7790069580078125	0.0072269691215699336	10.722222222222221
grade	193	6.319324016571045	0.02047641251111481	10.660130718954248
taste	531	6.48673152923584	0.17732840900148447	6.028679245283019
hole	530	6.15825080871582	0.16166997590474963	9.652317880794701
history	89	5.929978370666504	0.0049518121758905095	10.675675675675675
bee	434	6.550712585449219	0.12767645448106882	5.79769392033543
normally	255	6.736470699310303	0.02850637820174807	11.502347417840376
ay	81	5.744699001312256	0.010171289874802128	4.9868421052631575
instructions	85	5.800669193267822	0.0049518121758905095	8.378378378378379
nose	844	7.163928985595703	0.3806203737360165	5.984177215189874
scottie	78	5.888685703277588	0.010974286443865455	3.4878048780487805
muscle	119	6.231954574584961	0.008565296736675476	7.484375
bumpy	159	6.547895431518555	0.01766592451939317	6.143939393939394
twelfth	65	4.624279975891113	0.005353310460422173	7.125
window	543	6.484721660614014	0.15136485326843693	8.357206012378427
snake	434	6.747888565063477	0.09863474523327853	6.949796472184532
bryan	89	6.140120029449463	0.006959303598548824	5.0
passengers	62	3.6121177673339844	0.015926098619755965	12.168067226890756
mess	494	6.604133605957031	0.12794412000408992	7.444560669456067
pairs	118	6.33022928237915	0.006959303598548824	8.307692307692308
country	252	6.292636871337891	0.034127354185191354	10.321568627450981
turning	329	6.631184101104736	0.057548087449538356	6.76046511627907
cone	299	5.467398643493652	0.09689491933364133	11.61049723756906
moves	240	6.764615535736084	0.023420733264347005	8.714285714285714
matty	350	7.190365314483643	0.03974833016863463	10.966329966329967
ladybugs	199	6.9370527267456055	0.014320105481629312	10.700934579439252
avenue	106	6.181859970092773	0.010037457113291574	8.52
stood	192	5.93808650970459	0.014320105481629312	11.05607476635514
frustrating	68	5.363043785095215	0.004684146652869401	10.514285714285714
tonsils	90	5.834397315979004	0.005754808744953836	8.209302325581396
loaf	99	5.094965934753418	0.010305122636312683	9.727272727272727
ribbit	64	2.1586766242980957	0.07869366376820594	2.697278911564626
trying	970	6.0892109870910645	0.3497050058270784	11.923076923076923
o'clock	312	6.721837997436523	0.0685223738934038	8.15625
together	1098	7.436949253082275	0.37165357871480936	8.773496579042131
alexa	100	6.284419536590576	0.008565296736675476	4.65625
stacking	106	6.103652000427246	0.0072269691215699336	11.981481481481481
forgot	653	6.724531173706055	0.1371785805483182	6.926829268292683
jumpin	114	6.205043792724609	0.008029965690633259	7.833333333333333
into	1979	8.152754783630371	0.6106788907726594	11.338373876835416
ha	588	6.984107494354248	0.16153614314323905	4.848384424192212
sleeps	173	6.511890888214111	0.013784774435587096	9.485436893203884
fishes	109	6.142317295074463	0.008565296736675476	6.546875
superman	152	6.643613815307617	0.012312614058970998	6.836956521739131
example	88	5.651799201965332	0.006423972552506607	9.875
cuddle	75	5.543473243713379	0.005085644937401064	8.552631578947368
glue	226	6.674492835998535	0.02261773669528368	8.852071005917159
actually	1220	7.8426103591918945	0.2593678918074543	11.751289989680082
all_done	21	4.193578243255615	0.005487143221932727	1.853658536585366
cheap	74	5.718335151672363	0.004817979414379956	7.472222222222222
sportscasters	35	3.525447130203247	0.009502126067249357	6.0
winning	74	5.855207443237305	0.005085644937401064	6.7368421052631575
puttaputta	25	4.317964553833008	0.0049518121758905095	2.27027027027027
gee	248	6.810883522033691	0.03733934046144465	6.111111111111111
mouth	995	6.581656455993652	0.5544691309382266	7.9582428192131305
okay	2965	7.7878217697143555	8.992089413132634	3.749467918855765
kwww	92	5.998321056365967	0.005620975983443281	8.333333333333334
mom	1158	7.526132583618164	0.47216198260923564	6.876984126984127
dinner	763	7.382448673248291	0.2589663935229226	7.920413436692506
caterpillar	361	5.5042548179626465	0.2123925925172497	11.20730938878387
called	1505	7.162134647369385	0.5342603839501329	7.500501002004008
belong	274	6.223752975463867	0.03841000255352909	7.648083623693379
bootie	80	5.468632698059082	0.009769791590270466	5.4520547945205475
about	2975	7.778286933898926	2.4862112105815677	8.546912849222156
talking	913	7.052153587341309	0.2502672640247366	8.763636363636364
ellen	88	5.8750386238098145	0.006156307029485499	10.08695652173913
bum	87	2.8738811016082764	0.01739825899637206	10.96923076923077
grouchy	74	5.522141456604004	0.005620975983443281	6.976190476190476
da	229	4.242765426635742	0.05915408058766501	7.330316742081448
peek	151	5.022437572479248	0.05781575297255947	4.201388888888889
similar	250	6.510108470916748	0.04376331301395126	11.675840978593271
bangs	116	6.290837287902832	0.00869912949818603	7.769230769230769
seem	441	6.518950939178467	0.07748916891461095	11.734024179620034
jessie	110	6.298249244689941	0.010706620920844345	5.2875
from	2516	8.415668487548828	0.8911923588987812	10.117885568403665
grocery	254	6.050690650939941	0.03238752828555415	12.02892561983471
present	385	6.583598613739014	0.08284247937503313	8.053311793214862
wo	1198	7.4335808753967285	0.4641320169186024	8.281430219146483
candy	480	7.332542896270752	0.09207693991926137	7.252906976744186
bagel	128	5.738236904144287	0.0108404536823549	7.802469135802469
