Token	Diversity	DiversityEntropy	CountPerThousand	MLU
timothée	19	4.248077869415283	0.007367341801683438	4.5
unes	17	3.94022274017334	0.004911561201122292	23.5
lave	94	5.9448652267456055	0.06139451501402865	8.28
trou	174	6.149064064025879	0.15594206813563277	10.377952755905511
parlent	40	4.913809776306152	0.01719046420392802	7.642857142857143
nages	16	3.6636831760406494	0.007367341801683438	4.666666666666667
dududu	1	0.0001504136307630688	0.006139451501402864	2.0
montre	336	6.864950180053711	0.8902204677034153	4.733793103448276
laisses	143	5.911253452301025	0.0994591143227264	8.777777777777779
caraïbes	13	0.5667787790298462	0.06139451501402865	36.02
croûte	31	4.401653289794922	0.01596257390364745	13.615384615384615
é	70	5.423047065734863	0.012278903002805729	10.5
passés	18	3.8349642753601074	0.00859523210196401	6.571428571428571
idiot	51	5.340053558349609	0.01596257390364745	8.461538461538462
dormais	17	3.785048007965088	0.007367341801683438	19.833333333333332
louane	244	6.6562981605529785	0.4211663729962365	5.667638483965015
sur	1331	6.683941841125488	5.4125404436367655	8.37953720508167
station	0	nan	0.001227890300280573	2.0
william	318	6.939813137054443	0.6556934203498259	5.455056179775281
couscous	9	3.0959455966949463	0.003683670900841719	6.0
zoup	14	3.773707389831543	0.007367341801683438	5.166666666666667
offert	42	5.122282028198242	0.013506793303086302	9.272727272727273
raisonnable	19	4.2220778465271	0.006139451501402864	5.8
pensé	43	5.267034530639648	0.013506793303086302	8.636363636363637
remett	16	3.93228816986084	0.004911561201122292	6.5
toux	29	4.6154608726501465	0.011051012702525157	6.777777777777778
tee	49	5.328253269195557	0.019646244804489166	7.375
empêche	35	4.806084632873535	0.007367341801683438	14.833333333333334
entrée	51	5.33156681060791	0.012278903002805729	9.4
dans	1823	7.98573637008667	6.090335889391642	9.330846774193548
fera	149	6.432802200317383	0.0724455277165538	9.169491525423728
éclaté	17	3.885009288787842	0.013506793303086302	6.818181818181818
oies	10	2.771933078765869	0.004911561201122292	7.75
fatras	1	0.0001504136307630688	0.030697257507014325	13.0
promenade	42	5.137375831604004	0.02087413510476974	6.352941176470588
malin	28	4.35036039352417	0.012278903002805729	6.2
nettoies	17	3.9162771701812744	0.004911561201122292	9.5
malheur	15	1.0997322797775269	0.024557806005611457	7.6
s'	1125	7.259103775024414	2.9886849908829145	7.428923582580115
fraises	70	5.328213691711426	0.052799282912064635	7.953488372093023
lumières	17	3.9707233905792236	0.004911561201122292	12.5
as	1550	7.132877349853516	4.6045886260521485	7.663733333333333
merlin_l'	13	3.640374183654785	0.007367341801683438	7.166666666666667
tard	85	5.828700065612793	0.05034350231150349	8.75609756097561
lu	62	2.2319250106811523	0.15471417783535218	10.555555555555555
laves	44	4.813500881195068	0.022102025405050314	7.777777777777778
genre	94	5.874876022338867	0.04174827020953948	15.058823529411764
quatrième	27	4.430348873138428	0.012278903002805729	7.3
panneau	11	3.378933906555176	0.003683670900841719	9.666666666666666
guéri	47	4.98301887512207	0.02578569630589203	7.333333333333333
spaghetti	42	5.047961235046387	0.01596257390364745	8.153846153846153
retournez	19	3.7022545337677	0.007367341801683438	9.833333333333334
bloqué	12	3.4567151069641113	0.004911561201122292	5.75
fragile	37	4.684006214141846	0.022102025405050314	7.944444444444445
eiffel	16	3.3817312717437744	0.009823122402244583	7.25
soulever	34	4.943742275238037	0.007367341801683438	12.666666666666666
man	30	4.689888954162598	0.012278903002805729	8.7
vomir	13	3.572619676589966	0.003683670900841719	11.333333333333334
proche	15	3.509185552597046	0.006139451501402864	7.8
briquet	80	5.671219348907471	0.04174827020953948	8.117647058823529
grave	83	3.5574002265930176	0.2222481443507837	5.801104972375691
jolies	48	4.8793230056762695	0.03438092840785604	6.142857142857143
attaque	17	3.893810272216797	0.004911561201122292	24.5
doudous	57	4.722899436950684	0.05525506351262578	6.222222222222222
avons	34	4.829867839813232	0.009823122402244583	10.75
bleu	249	6.480350494384766	0.47396565590830114	6.310880829015544
exprès	82	5.686376571655273	0.05402717321234521	7.136363636363637
genou	48	5.203089714050293	0.024557806005611457	7.15
produire	12	3.5070409774780273	0.003683670900841719	8.666666666666666
wo	1	0.0001504136307630688	0.007367341801683438	2.0
arb	10	2.8980002403259277	0.007367341801683438	4.333333333333333
requins	49	4.668797016143799	0.03929248960897833	6.5625
petit_nounours	13	3.6145195960998535	0.003683670900841719	7.666666666666667
montsouris	27	4.257907867431641	0.009823122402244583	13.625
amènes	35	4.704755783081055	0.007367341801683438	8.333333333333334
clignotaient	8	0.4712558686733246	0.040520379909258906	12.818181818181818
guirlandes	20	3.835598945617676	0.007367341801683438	10.666666666666666
carton	53	5.517820835113525	0.02578569630589203	7.619047619047619
court	128	5.949920654296875	0.0957754434218847	7.910256410256411
